PR Number,Title,Merged At,Team Name,Release Type,Branch
28852,Automatic Backporting,2024-09-24T18:40:10Z,Unknown,slow,master
28842,release/fast/2024-09-24_panda_sfpd-304_implement_contract_end_date_for_structural_appointments to master,2024-09-24T15:45:59Z,panda,fast,master
28821,release/fast/2024-09-24_mpnl_grafanascripts_modification to master,2024-09-24T14:05:49Z,mpnl,fast,master
28809,release/slow/2024-09-24_platypus_sfpy_181_update_content_request_api to master,2024-09-24T13:26:05Z,platypus,slow,master
28785,add schema validation to reduce openapi config issues,2024-09-24T10:34:19Z,Unknown,slow,master
28841,Koalas: SF_BAR_Query_All PS removed,2024-09-24T15:50:31Z,Unknown,slow,develop_uat
28832,Release/rc koalas sfka 791 sf backup permissionset,2024-09-24T14:54:47Z,koalas,slow,develop_uat
28814,Feature/ft sync uat master fix,2024-09-24T13:42:35Z,Unknown,slow,develop_uat
28734,s,2024-09-24T14:18:16Z,Unknown,slow,develop_uat
