PR Number,Title,Merged At,Team Name,Release Type,Branch
28659,Automatic Backporting,2024-09-20T18:40:09Z,Unknown,slow,master
28609,release/fast/2024-09-20_core_sfct_1054_new_role_on_account_role_object to master,2024-09-20T10:11:36Z,core,fast,master
28594,release/fast/2024-09-20_platypus_fix_assignment_permission_sets_in_contact to master,2024-09-20T09:09:33Z,platypus,fast,master
28538,release/fast/2024-09-19_lions_sfln334_deploy_last_updates_to_uat to master,2024-09-20T06:57:07Z,lions,fast,master
28665,Automatic Backporting to develop_uat,2024-09-20T19:42:22Z,Unknown,slow,develop_uat
28606,Fix uat backporting 20 09 2024,2024-09-20T10:05:10Z,Unknown,slow,develop_uat
28589,Release/rc mpnl cs0067044,2024-09-20T10:15:21Z,mpnl,slow,develop_uat
28579,Release/rc platypus sfpy 181 update content request api,2024-09-20T10:58:22Z,platypus,slow,develop_uat
28570,Release/rc platypus order confirmations api,2024-09-20T11:33:36Z,platypus,slow,develop_uat
28523,Feature/ft jaguar revertscript digitalreturn,2024-09-20T11:41:25Z,Unknown,slow,develop_uat
28519,s,2024-09-20T10:05:12Z,Unknown,slow,develop_uat
